pmcid,pmc_version,license_code,doi,n_images,n_questions,title,citation
PMC4179364,1,CC BY-NC,10.5999/aps.2014.41.5.576,1,2,Muscle-Sparing Blepharoplasty: A Prospective Left-Right Comparative Study,Arch Plast Surg. 2014 Sep 15;41(5):576–83. doi: 10.5999/aps.2014.41.5.576
PMC4195826,1,CC BY-NC-SA,10.1083/jcb.2071pi,1,2,Raphael Valdivia: How Chlamydia settles in,J Cell Biol. 2014 Oct 13;207(1):4–5. doi: 10.1083/jcb.2071pi
PMC4209947,1,CC BY-NC-ND,10.1016/j.matbio.2014.05.006,1,2,Pseudoachondroplasia/COMP — translating from the bench to the bedside,Matrix Biol. Author manuscript; Available in PMC 2014 Oct 27.
PMC4220394,1,CC BY-NC-SA,10.4103/0974-620X.142590,1,2,An eye for an eye,Oman J Ophthalmol. 2014 Sep-Dec;7(3):109–11. doi: 10.4103/0974-620X.142590
PMC4244749,1,CC BY-NC-SA,10.4103/0301-4738.143951,1,2,Acute visual loss with ophthalmoplegia after spinal surgery: Report of a case and review of the literature,Indian J Ophthalmol. 2014 Sep;62(9):963–5. doi: 10.4103/0301-4738.143951
PMC4273162,1,CC BY-NC-ND,10.3205/cto000104,1,2,Malformation and plastic surgery in childhood,GMS Curr Top Otorhinolaryngol Head Neck Surg. 2014 Dec 1;13:Doc01. doi: 10.3205/cto000104
PMC4273169,1,CC BY-NC-ND,10.3205/cto000111,1,2,Cervical lymph node diseases in children,GMS Curr Top Otorhinolaryngol Head Neck Surg. 2014 Dec 1;13:Doc08. doi: 10.3205/cto000111
PMC4279047,1,CC BY-NC,10.4047/jap.2014.6.6.483,1,2,Faculty-supervised measurements of the face and of mandibular movements on young adults,J Adv Prosthodont. 2014 Dec 17;6(6):483–90. doi: 10.4047/jap.2014.6.6.483
PMC4293832,1,CC BY-NC-SA,10.4103/2231-0746.147098,1,2,20 years of cleft lip and palate missions,Ann Maxillofac Surg. 2014 Jul-Dec;4(2):138–43. doi: 10.4103/2231-0746.147098
PMC4319335,1,CC BY-NC-SA,10.4103/0976-237X.149311,1,2,Sharp tooth induced sublingual hematoma in a patient with elevated international normalized ratio,Contemp Clin Dent. 2015 Jan-Mar;6(1):137–8. doi: 10.4103/0976-237X.149311
PMC4362191,1,CC BY-NC-SA,,1,2,In this issue,Saudi Med J. 2015;36(1):1.
PMC4365359,1,CC BY-NC-SA,,1,2,Oculomotor nerve palsy in dengue encephalitis - a rare presentation,Indian J Med Res. 2014 Dec;140(6):793–4.
PMC4439693,1,CC BY-NC-SA,10.4103/0975-7406.155957,2,3,Enhanced aesthetics with all ceramics restoration,J Pharm Bioallied Sci. 2015 Apr;7(Suppl 1):S282–4. doi: 10.4103/0975-7406.155957
PMC4476192,1,CC BY-NC,10.1016/j.shaw.2015.01.001,2,4,Psychosocial Factors and Musculoskeletal Pain Among Rural Hand-woven Carpet Weavers in Iran,Saf Health Work. 2015 Feb 7;6(2):120–7. doi: 10.1016/j.shaw.2015.01.001
PMC4477458,1,CC BY-NC-SA,10.4103/0974-2077.158446,1,2,Simple Technique for Facial Dimple,J Cutan Aesthet Surg. 2015 Apr-Jun;8(2):102–5. doi: 10.4103/0974-2077.158446
PMC4502201,1,CC BY-NC-SA,10.4103/0970-2113.159571,1,2,Infection control in the pulmonary function test laboratory,Lung India. 2015 Jul-Aug;32(4):359–66. doi: 10.4103/0970-2113.159571
PMC4507484,1,CC BY-NC,10.2147/CCID.S53980,2,4,Hair restoration surgery: challenges and solutions,Clin Cosmet Investig Dermatol. 2015 Jul 15;8:361–70. doi: 10.2147/CCID.S53980
PMC4513063,1,CC BY-NC,10.5999/aps.2015.42.4.494,1,2,Innervated Free Groin Flap,Arch Plast Surg. 2015 Jul 14;42(4):494–7. doi: 10.5999/aps.2015.42.4.494
PMC4516066,1,CC BY-NC-SA,,1,2,Cone Beam Computed Tomography-Dawn of A New Imaging Modality in Orthodontics,J Int Oral Health. 2015;7(Suppl 1):96–9.
PMC4531019,1,CC BY-NC,10.2147/IMCRJ.S82795,1,2,Pediatric primary optic nerve sheath meningioma,Int Med Case Rep J. 2015 Aug 4;8:159–63. doi: 10.2147/IMCRJ.S82795
PMC4555620,1,CC BY-NC-ND,10.1177/2325967114522184,1,2,Assessment of Injuries During Brazilian Jiu-Jitsu Competition,Orthop J Sports Med. 2014 Feb 21;2(2):2325967114522184. doi: 10.1177/2325967114522184
PMC4564497,1,CC BY-NC-SA,10.4103/0970-0358.163050,3,6,Objective analysis of microtia reconstruction in Indian patients and modifications in management protocol,Indian J Plast Surg. 2015 May-Aug;48(2):144–52. doi: 10.4103/0970-0358.163050
PMC4579181,1,CC BY-NC,10.5999/aps.2015.42.5.640,1,2,Isolated Congenital Nasal Bifid Septum Separated by a Wide Layer of Soft Tissue,Arch Plast Surg. 2015 Sep 15;42(5):640–2. doi: 10.5999/aps.2015.42.5.640
PMC4582593,1,CC BY-NC-ND,10.7916/D8KD1X74,1,2,Early Illustrations of Geste Antagoniste in Cervical and Generalized Dystonia,Tremor Other Hyperkinet Mov (N Y). 2015 Sep 21;5:332. doi: 10.7916/D8KD1X74
PMC4606724,1,CC BY-NC-SA,10.4103/0975-7406.163595,1,2,Drug-induced thrombocytopenic purpura,J Pharm Bioallied Sci. 2015 Aug;7(Suppl 2):S827–9. doi: 10.4103/0975-7406.163595
PMC4645924,1,CC BY-NC,10.2174/1874325001509010450,1,2,The Effect of Foam Rolling Duration on Hamstring Range of Motion,Open Orthop J. 2015 Oct 2;9:450–5. doi: 10.2174/1874325001509010450
PMC4727698,1,CC BY-NC-ND,10.1097/GOX.0000000000000548,1,2,Novel Principles and Techniques to Create a Natural Design in Female Hairline Correction Surgery,Plast Reconstr Surg Glob Open. 2016 Jan 7;3(12):e589. doi: 10.1097/GOX.0000000000000548
PMC4728910,1,CC BY-NC-SA,10.4103/0974-2077.172207,1,2,Chondroid Syringoma of the Philtral Dimple,J Cutan Aesthet Surg. 2015 Oct-Dec;8(4):242–4. doi: 10.4103/0974-2077.172207
PMC4749008,1,CC BY-NC,10.4081/ejtm.2014.2940,1,2,Funktionelle Elektrostimulation Paraplegischer Patienten,Eur J Transl Myol. 2014 Jul 8;24(2):2940. doi: 10.4081/ejtm.2014.2940
PMC4755969,1,CC BY-NC-ND,10.1589/jpts.28.27,1,2,Application of the Blobo bluetooth ball in wrist rehabilitation training,J Phys Ther Sci. 2016 Jan 30;28(1):27–32. doi: 10.1589/jpts.28.27
PMC4762345,1,CC BY-NC-SA,10.4103/0972-4052.164912,1,2,Prosthetic rehabilitation of a total laryngectomy patient,J Indian Prosthodont Soc. 2015 Oct-Dec;15(4):390–4. doi: 10.4103/0972-4052.164912
PMC4772947,1,CC BY-NC,10.2147/OAJSM.S72332,1,2,"Anterior cruciate ligament reconstruction, rehabilitation, and return to play: 2015 update",Open Access J Sports Med. 2016 Feb 24;7:21–32. doi: 10.2147/OAJSM.S72332
PMC4804399,1,CC BY-NC-SA,10.4103/2152-7806.178567,1,1,McCune–Albright syndrome with craniofacial dysplasia: Clinical review and surgical management,Surg Neurol Int. 2016 Mar 11;7(Suppl 6):S165–9. doi: 10.4103/2152-7806.178567
PMC4807172,1,CC BY-NC,10.5999/aps.2016.43.2.172,2,4,Ten Years of Results of Modified Frontalis Muscle Transfer for the Correction of Blepharoptosis,Arch Plast Surg. 2016 Mar 18;43(2):172–80. doi: 10.5999/aps.2016.43.2.172
PMC4807931,1,CC BY-NC,10.2147/PPA.S99730,1,2,Preferences of color and lip position for facial attractiveness by laypersons and orthodontists,Patient Prefer Adherence. 2016 Mar 18;10:355–61. doi: 10.2147/PPA.S99730
PMC4850771,1,CC BY-NC-SA,10.4103/2231-4040.179749,1,2,Propranolol-induced gingival hyperplasia with Nager syndrome: A rare adverse drug reaction,J Adv Pharm Technol Res. 2016 Apr-Jun;7(2):64–8. doi: 10.4103/2231-4040.179749
PMC4874279,1,CC BY-NC-ND,10.1097/GOX.0000000000000623,1,2,Bilateral Distraction Osteogenesis of Vascularized Iliac Crest Free Flaps Used in Mandibular Reconstruction,Plast Reconstr Surg Glob Open. 2016 Mar 8;4(3):e635. doi: 10.1097/GOX.0000000000000623
PMC4876305,1,CC BY-NC-SA,,2,4,Report of a Case with Trisomy 9 Mosaicism,Iran J Med Sci. 2016 May;41(3):249–52.
PMC4885203,1,CC BY-NC-SA,10.4103/0019-5154.182467,1,2,Olmsted Syndrome: Rare Occurrence in Four Siblings,Indian J Dermatol. 2016 May-Jun;61(3):347. doi: 10.4103/0019-5154.182467
PMC4917779,1,CC BY-NC,10.4184/asj.2016.10.3.570,1,2,Postural Rehabilitation for Adolescent Idiopathic Scoliosis during Growth,Asian Spine J. 2016 Jun 16;10(3):570–81. doi: 10.4184/asj.2016.10.3.570
PMC4934967,1,CC BY-NC,10.12965/jer.1632564.282,3,6,Therapeutic patient education and exercise therapy in patients with cervicogenic dizziness: a prospective case series clinical study,J Exerc Rehabil. 2016 Jun 30;12(3):216–25. doi: 10.12965/jer.1632564.282
PMC4943791,1,CC BY-NC,10.1590/S1679-45082015RC2987,1,2,Extensive cervical lymphadenitis mimicking bacterial adenitis as the first presentation of Kawasaki disease,Einstein (Sao Paulo). 2015 Jul-Sep;13(3):426–9. doi: 10.1590/S1679-45082015RC2987
PMC4995704,1,CC BY-NC-ND,10.1097/GOX.0000000000000681,1,2,Avoiding Breast Animation Deformity with Pectoralis-Sparing Subcutaneous Direct-to-Implant Breast Reconstruction,Plast Reconstr Surg Glob Open. 2016 May 27;4(5):e708. doi: 10.1097/GOX.0000000000000681
PMC5012967,1,CC BY-NC,10.5535/arm.2016.40.4.568,1,2,Validation of Attitude and Heading Reference System and Microsoft Kinect for Continuous Measurement of Cervical Range of Motion Compared to the Optical Motion Capture System,Ann Rehabil Med. 2016 Aug 24;40(4):568–74. doi: 10.5535/arm.2016.40.4.568
PMC5015603,1,CC BY-NC-ND,10.3205/oc000013,1,2,Acute abducens nerve palsy as a presenting feature in carotid-cavernous fistula in a 6-year-old girl,GMS Ophthalmol Cases. 2013 Apr 18;3:Doc03. doi: 10.3205/oc000013
PMC5017172,1,CC BY-NC-SA,10.4103/0019-5413.189605,1,2,Single-bundle versus double-bundle anterior cruciate ligament reconstruction: A comparative study with propensity score matching,Indian J Orthop. 2016 Sep;50(5):505–11. doi: 10.4103/0019-5413.189605
PMC5022134,1,CC BY-NC-ND,10.1080/10833196.2015.1125587,1,2,The origins of Western mind–body exercise methods,Phys Ther Rev. 2016 Apr 8;20(5-6):315–24. doi: 10.1080/10833196.2015.1125587
PMC5055031,1,CC BY-NC-ND,10.1097/GOX.0000000000001069,1,2,Comparative Study of a Novel Tool for Follicular Unit Extraction for Individuals with Afro-textured Hair,Plast Reconstr Surg Glob Open. 2016 Sep 27;4(9):e1069. doi: 10.1097/GOX.0000000000001069
PMC5071603,1,CC BY-NC-SA,10.5114/kitp.2016.62625,1,2,Applications of 3D printing in healthcare,Kardiochir Torakochirurgia Pol. 2016 Sep 30;13(3):283–93. doi: 10.5114/kitp.2016.62625
PMC5084581,1,CC BY-NC-SA,10.4103/2249-4863.192367,1,2,Dual Bacillus Calmette–Guerin vaccination along the border communities of Angola and Namibia,J Family Med Prim Care. 2016 Apr-Jun;5(2):457–9. doi: 10.4103/2249-4863.192367
PMC5142710,1,CC BY-NC-ND,10.3822/ijtmb.v9i4.330,1,2,Utilizing Chair Massage to Address One Woman’s Health in Rural Ghana West Africa: a Case Report,Int J Ther Massage Bodywork. 2016 Dec 9;9(4):22–9. doi: 10.3822/ijtmb.v9i4.330
PMC5172486,1,CC BY-NC-ND,10.1097/GOX.0000000000001178,1,2,Technical Considerations for Filler and Neuromodulator Refinements,Plast Reconstr Surg Glob Open. 2016 Dec 14;4(12 Suppl):e1178. doi: 10.1097/GOX.0000000000001178
PMC5227079,1,CC BY-NC-SA,10.4103/0974-2077.197078,1,2,Near Infrared Pulsed Light for Permanent Hair Reduction in Fitzpatrick Skin Types IV and V,J Cutan Aesthet Surg. 2016 Oct-Dec;9(4):249–53. doi: 10.4103/0974-2077.197078
PMC5227080,1,CC BY-NC-SA,10.4103/0974-2077.197080,1,2,Nail Photography: Tips and Tricks,J Cutan Aesthet Surg. 2016 Oct-Dec;9(4):254–7. doi: 10.4103/0974-2077.197080
PMC5288921,1,CC BY-NC-SA,10.4103/0970-0358.197230,3,6,Assessment of hand function after successful replantation of upper limb at arm,Indian J Plast Surg. 2016 Sep-Dec;49(3):415–8. doi: 10.4103/0970-0358.197230
PMC5341263,1,CC BY-NC-SA,10.4103/0972-2327.199917,1,2,"Median and common peroneal neuropathy in coir workers of Alappuzha district, Kerala",Ann Indian Acad Neurol. 2017 Jan-Mar;20(1):23–8. doi: 10.4103/0972-2327.199917
PMC5356953,1,CC BY-NC-SA,10.1539/joh.15-0108-OA,1,2,Two-point discrimination and kinesthetic sense disorders in productive age individuals with carpal tunnel syndrome,J Occup Health. 2016 Apr 22;58(3):289–96. doi: 10.1539/joh.15-0108-OA
PMC5359635,1,CC BY-NC,10.4041/kjod.2017.47.2.87,1,2,A three-dimensional photogrammetric analysis of the facial esthetics of the Miss Korea pageant contestants,Korean J Orthod. 2017 Jan 25;47(2):87–99. doi: 10.4041/kjod.2017.47.2.87
PMC5379827,1,CC BY-NC-SA,10.4103/1305-7456.202636,1,2,A comparative assessment of prosthetic outcome on enucleation and evisceration in three different etiological eye defects: A case series,Eur J Dent. 2017 Jan-Mar;11(1):130–4. doi: 10.4103/1305-7456.202636
PMC5393092,1,CC BY-NC-SA,10.4103/ijmr.IJMR_677_15,1,2,Metastatic skull swelling secondary to neuroblastoma in a child,Indian J Med Res. 2016 Nov;144(5):784. doi: 10.4103/ijmr.IJMR_677_15
PMC5400136,1,CC BY-NC-ND,10.1177/2325967117700599,1,2,Return to Sport for Skeletally Immature Athletes After ACL Reconstruction: Preventing a Second Injury Using a Quality of Movement Assessment and Quantitative Measures to Address Modifiable Risk Factors,Orthop J Sports Med. 2017 Apr 20;5(4):2325967117700599. doi: 10.1177/2325967117700599
PMC5402493,1,CC BY-NC-SA,10.4103/jnrp.jnrp_321_16,1,2,Management and Outcome of Infantile Hydrocephalus in a Tertiary Health Institution in Nigeria,J Neurosci Rural Pract. 2017 Apr-Jun;8(2):249–53. doi: 10.4103/jnrp.jnrp_321_16
PMC5402517,1,CC BY-NC-SA,10.4103/jnrp.jnrp_478_16,2,4,Acute Bilateral Supranuclear Vertical Gaze Palsy: Vertical One-and-a-one Syndrome – Report of Three Cases,J Neurosci Rural Pract. 2017 Apr-Jun;8(2):313–6. doi: 10.4103/jnrp.jnrp_478_16
PMC5442300,1,CC BY-NC-SA,10.5114/reum.2017.67604,1,2,Risk of falls in the rheumatic patient at geriatric age,Reumatologia. 2017 Apr 28;55(2):88–93. doi: 10.5114/reum.2017.67604
PMC5472133,1,CC BY-NC-ND,10.1016/j.ijscr.2017.05.024,1,2,Management of parotid duct injury secondary to cow horn in a developing country,Int J Surg Case Rep. 2017 May 31;37:10–2. doi: 10.1016/j.ijscr.2017.05.024
PMC5476608,1,CC BY-NC,10.2147/IMCRJ.S114115,1,1,A familial study of Hallermann–Streiff–François syndrome,Int Med Case Rep J. 2017 Jun 10;10:193–201. doi: 10.2147/IMCRJ.S114115
PMC5481593,1,CC BY-NC,10.4184/asj.2017.11.3.390,1,2,The Effect of Soft and Rigid Cervical Collars on Head and Neck Immobilization in Healthy Subjects,Asian Spine J. 2017 Jun 15;11(3):390–5. doi: 10.4184/asj.2017.11.3.390
PMC5495502,1,CC BY-NC-ND,10.1177/2325967117711890,1,2,Range of Hip Joint Motion Is Correlated With MRI-Verified Cam Deformity in Adolescent Elite Skiers,Orthop J Sports Med. 2017 Jun 28;5(6):2325967117711890. doi: 10.1177/2325967117711890
PMC5502493,1,CC BY-NC-SA,10.4103/ams.ams_20_16,1,2,Recovering Breathing and Feeding of a Newborn with Pierre Robin Sequence,Ann Maxillofac Surg. 2017 Jan-Jun;7(1):104–7. doi: 10.4103/ams.ams_20_16
PMC5504904,1,CC BY-NC-SA,10.4103/0970-2113.209233,1,2,Metastasis to parotid gland from primary bronchogenic carcinoma: A case letter,Lung India. 2017 Jul-Aug;34(4):398–400. doi: 10.4103/0970-2113.209233
PMC5506773,1,CC BY-NC,10.2147/SCCAA.S131431,1,2,Hair follicle growth by stromal vascular fraction-enhanced adipose transplantation in baldness,Stem Cells Cloning. 2017 Jul 6;10:1–10. doi: 10.2147/SCCAA.S131431
PMC5512408,1,CC BY-NC-SA,10.4103/njms.NJMS_84_16,1,2,Efficacy of arthrocentesis versus arthrocentesis with sodium hyaluronic acid in temporomandibular joint osteoarthritis: A comparison,Natl J Maxillofac Surg. 2017 Jan-Jun;8(1):41–9. doi: 10.4103/njms.NJMS_84_16
PMC5516457,1,CC BY-NC-SA,10.4103/0974-620X.209115,1,2,Viral mononeurities causing partial oculomotor nerve palsy in an 8 month old child,Oman J Ophthalmol. 2017 May-Aug;10(2):117–9. doi: 10.4103/0974-620X.209115
PMC5525600,1,CC BY-NC-SA,10.4103/tjo.tjo_14_17,1,2,"Vertical diplopia after cataract surgery, overacting, and/or underacting extraocular muscle",Taiwan J Ophthalmol. 2017 Jan-Mar;7(1):48–52. doi: 10.4103/tjo.tjo_14_17
PMC5536209,1,CC BY-NC-ND,10.15386/cjmed-709,3,6,The use of mastoid fascia for dorsal nasal augmentation,Clujul Med. 2017 Jul 15;90(3):294–304. doi: 10.15386/cjmed-709
PMC5556706,1,CC BY-NC,10.7181/acfs.2014.15.1.1,1,2,Clinical Experience of Sturdy Elevation of the Reconstructed Auricle,Arch Craniofac Surg. 2014 Apr 10;15(1):1–6. doi: 10.7181/acfs.2014.15.1.1
PMC5573483,1,CC BY-NC-ND,10.17096/jiufd.73461,2,4,Treatment of extraoral cutaneous sinus tracts with non-surgical endodontic intervention: report of six cases,J Istanb Univ Fac Dent. 2015 Apr 29;49(2):35–40. doi: 10.17096/jiufd.73461
PMC5574746,1,CC BY-NC,10.1007/s13555-017-0195-0,1,1,Therapeutic Effects of Topical Tranexamic Acid in Comparison with Hydroquinone in Treatment of Women with Melasma,Dermatol Ther (Heidelb). 2017 Jul 26;7(3):417–24. doi: 10.1007/s13555-017-0195-0
PMC5584101,1,CC BY-NC-ND,10.14639/0392-100X-911,2,4,Approach to the correction of drooping tip: common problems and solutions,Acta Otorhinolaryngol Ital. 2017 Aug;37(4):295–302. doi: 10.14639/0392-100X-911
PMC5595604,1,CC BY-NC-ND,10.1590/abd1806-4841.20175435,1,2,Trichotillomania: a good response to treatment with N-acetylcysteine,An Bras Dermatol. 2017 Jul-Aug;92(4):537–9. doi: 10.1590/abd1806-4841.20175435
PMC5613199,1,CC BY-NC-ND,10.3892/etm.2017.4911,1,2,Treatment of Graves' ophthalmopathy with an in-house Phosphorus-32 source: Initial clinical observations,Exp Ther Med. 2017 Aug 9;14(4):2795–800. doi: 10.3892/etm.2017.4911
PMC5735459,1,CC BY-NC-SA,10.4103/aer.AER_86_16,1,2,Airway Considerations in Case of a Large Multinodular Goiter,Anesth Essays Res. 2017 Oct-Dec;11(4):1097–100. doi: 10.4103/aer.AER_86_16
PMC5745378,1,CC BY-NC,10.4081/ejtm.2017.7110,1,2,Functional electrical stimulation cycling strategies tested during preparation for the First Cybathlon Competition – a practical report from team ENS de Lyon,Eur J Transl Myol. 2017 Dec 5;27(4):7110. doi: 10.4081/ejtm.2017.7110
PMC5758957,1,CC BY-NC,10.1177/2050312117744925,1,2,"Seating in aged care: Physical fit, independence and comfort",SAGE Open Med. 2018 Jan 4;6:2050312117744925. doi: 10.1177/2050312117744925
PMC5759655,1,CC BY-NC,10.7181/acfs.2017.18.4.269,1,2,Myxoid Solitary Fibrous Tumor on the Scalp,Arch Craniofac Surg. 2017 Dec 23;18(4):269–72. doi: 10.7181/acfs.2017.18.4.269
PMC5770929,1,CC BY-NC-SA,10.4103/ijps.IJPS_95_17,1,2,First two bilateral hand transplantations in India (Part 3): Rehabilitation and immediate outcome,Indian J Plast Surg. 2017 May-Aug;50(2):161–7. doi: 10.4103/ijps.IJPS_95_17
PMC5771944,1,CC BY-NC,10.1002/ccr3.1272,1,2,Plunging ranula: surgical management of case series and the literature review,Clin Case Rep. 2017 Nov 29;6(1):109–14. doi: 10.1002/ccr3.1272
PMC5811290,1,CC BY-NC-ND,10.1097/GOX.0000000000001623,1,2,Earfold Implantable Clip System for Correction of Prominent Ears: Analysis of Safety in 403 Patients,Plast Reconstr Surg Glob Open. 2018 Jan 12;6(1):e1623. doi: 10.1097/GOX.0000000000001623
PMC5829892,1,CC BY-NC,10.1136/svn-2017-000079,1,2,Eyes and stroke: the visual aspects of cerebrovascular disease,Stroke Vasc Neurol. 2017 Jul 6;2(4):210–20. doi: 10.1136/svn-2017-000079
PMC5838263,1,CC BY-NC,10.1002/ccr3.1400,1,2,Mycoplasma pneumoniae‐induced mucositis without rash in an 11‐year‐old boy,Clin Case Rep. 2018 Feb 6;6(3):551–2. doi: 10.1002/ccr3.1400
PMC5851923,1,CC BY-NC-ND,10.1016/j.sjbs.2017.11.038,1,2,Repair of bone defect of the lateral forefoot by double segment triangular fibula flap with vascular pedicle: A case report,Saudi J Biol Sci. 2017 Nov 14;24(8):1907–12. doi: 10.1016/j.sjbs.2017.11.038
PMC5856037,1,CC BY-NC,10.2147/RMHP.S154611,1,2,"Occupational health risk of working in garages: comparative study on blood pressure and hematological parameters between garage workers and Haramaya University community, Harar, eastern Ethiopia",Risk Manag Healthc Policy. 2018 Mar 13;11:35–44. doi: 10.2147/RMHP.S154611
PMC5865521,1,CC BY-NC-ND,10.1177/2325967118759953,1,2,"2018 International Olympic Committee Consensus Statement on Prevention, Diagnosis, and Management of Pediatric Anterior Cruciate Ligament Injuries",Orthop J Sports Med. 2018 Mar 21;6(3):2325967118759953. doi: 10.1177/2325967118759953
PMC5908503,1,CC BY-NC-ND,10.1097/GOX.0000000000001615,1,2,Assessment of Functional Rhinoplasty with Spreader Grafting Using Acoustic Rhinomanometry and Validated Outcome Measurements,Plast Reconstr Surg Glob Open. 2018 Mar 19;6(3):e1615. doi: 10.1097/GOX.0000000000001615
PMC5921451,1,CC BY-NC-SA,10.4103/JCAS.JCAS_126_17,1,2,Reconstruction of an Anterior Auricular Defect Through a Tunnelized Preauricular Transposition Flap,J Cutan Aesthet Surg. 2018 Jan-Mar;11(1):42–4. doi: 10.4103/JCAS.JCAS_126_17
PMC5928313,1,CC BY-NC-SA,,1,2,Determining Changes in Electromyography Indices when Measuring Maximum Acceptable Weight of Lift in Iranian Male Students,J Biomed Phys Eng. 2018 Mar 1;8(1):73–86.
PMC5939180,1,CC BY-NC-SA,10.4103/ijo.IJO_176_18,1,2,Comment on: Upper eyelid levator-recession and anterior lamella repositioning through the gray-line – Avoiding a skin-crease incision,Indian J Ophthalmol. 2018 May;66(5):725–6. doi: 10.4103/ijo.IJO_176_18
PMC5947096,1,CC BY-NC,,1,2,"Hammer-Finger, with Notes of Seven Cases Occurring in One Family",Glasgow Med J. 1903 Nov;60(5):335–44.
PMC5965015,1,CC BY-NC-SA,10.4103/HEARTVIEWS.HEARTVIEWS_23_18,1,2,The Pulse in Ancient Medicine Part 1,Heart Views. 2018 Jan-Mar;19(1):36–43. doi: 10.4103/HEARTVIEWS.HEARTVIEWS_23_18
PMC5977960,1,CC BY-NC-ND,10.1097/GOX.0000000000001755,1,2,A Systematic Review of Surgical Management of Melanoma of the External Ear,Plast Reconstr Surg Glob Open. 2018 Apr 13;6(4):e1755. doi: 10.1097/GOX.0000000000001755
PMC5999371,1,CC BY-NC-ND,10.1097/NCM.0000000000000280,1,2,Decision-Making Data: Expectations for Reproducibility of Lifting on Separate Days,Prof Case Manag. 2018 Feb 2;23(4):204–12. doi: 10.1097/NCM.0000000000000280
PMC6006625,1,CC BY-NC,10.1159/000488846,1,2,Use of Ozone-Based Eye Drops: A Series of Cases in Veterinary and Human Spontaneous Ocular Pathologies,Case Rep Ophthalmol. 2018 May 24;9(2):287–98. doi: 10.1159/000488846
PMC6028199,1,CC BY-NC,10.12965/jer.1836196.098,1,2,Changes in lower extremity function and pitching performance with increasing numbers of pitches in baseball pitchers,J Exerc Rehabil. 2018 Jun 27;14(3):430–5. doi: 10.12965/jer.1836196.098
PMC6047960,1,CC BY-NC-ND,10.1589/jpts.30.952,1,2,Alleviation of pain and disability in a post-surgical C4–C7 total fusion patient after reducing a lateral head translation (side shift) posture: a CBP® case report with a 14 year follow-up,J Phys Ther Sci. 2018 Jul 3;30(7):952–7. doi: 10.1589/jpts.30.952
PMC6051962,1,CC BY-NC-ND,10.1016/j.rboe.2017.03.009,1,2,A rare case of bilateral central subluxation of the hip joint with associated bilateral quadrilateral plate fracture in an elderly male due to seizure activity,Rev Bras Ortop. 2017 Mar 17;53(4):489–92. doi: 10.1016/j.rboe.2017.03.009
PMC6052651,1,CC BY-NC-ND,10.1016/j.jare.2017.12.004,1,2,"Strengthening mechanisms, deformation behavior, and anisotropic mechanical properties of Al-Li alloys: A review",J Adv Res. 2017 Dec 26;10:49–67. doi: 10.1016/j.jare.2017.12.004
PMC6055307,1,CC BY-NC-SA,10.4103/tjo.tjo_110_17,1,2,Oculomotor palsy as a single presenting sign of midbrain hemorrhage,Taiwan J Ophthalmol. 2018 Apr-Jun;8(2):108–10. doi: 10.4103/tjo.tjo_110_17
PMC6128161,1,CC BY-NC-SA,10.4103/JCAS.JCAS_67_18,1,2,Simplifying Injectables for Volumetric Rejuvenation of Face,J Cutan Aesthet Surg. 2018 Apr-Jun;11(2):51–9. doi: 10.4103/JCAS.JCAS_67_18
PMC6128326,1,CC BY-NC-ND,10.1016/j.sdentj.2018.05.009,3,6,Skeletal Class III correction in permanent dentition using reverse twin block appliance and fixed mechanotherapy,Saudi Dent J. 2018 May 31;30(4):379–88. doi: 10.1016/j.sdentj.2018.05.009
PMC6147841,1,CC BY-NC-ND,10.5144/0256-4947.2004.469,1,2,Seckel-like syndrome or Seckel variants?,Ann Saudi Med. 2004 Nov-Dec;24(6):469–72. doi: 10.5144/0256-4947.2004.469
PMC6177682,1,CC BY-NC,10.7181/acfs.2017.01396,1,2,Treatment of post-traumatic hematoma and fibrosis using hyaluronidase injection,Arch Craniofac Surg. 2018 Sep 20;19(3):218–21. doi: 10.7181/acfs.2017.01396
PMC6181490,1,CC BY-NC-ND,10.1097/GOX.0000000000001888,1,2,An Algorithm Using Botox Injections for Facial Scar Improvement in Fitzpatrick Type IV–VI Skin,Plast Reconstr Surg Glob Open. 2018 Aug 8;6(8):e1888. doi: 10.1097/GOX.0000000000001888
PMC6219348,1,CC BY-NC-SA,10.4103/ijps.IJPS_7_18,2,4,Brachioradialis to flexor digitorum profundus tendon transfer to restore finger flexion,Indian J Plast Surg. 2018 May-Aug;51(2):123–30. doi: 10.4103/ijps.IJPS_7_18
PMC6326610,1,CC BY-NC-ND,10.1097/GOX.0000000000001971,1,2,Ten Tips to Simplify the Spaghetti Wrist,Plast Reconstr Surg Glob Open. 2018 Dec 12;6(12):e1971. doi: 10.1097/GOX.0000000000001971
PMC6326612,1,CC BY-NC-ND,10.1097/GOX.0000000000002056,1,2,Outcomes of Vascularized Lymph Node Transfer and Lymphovenous Anastomosis for Treatment of Primary Lymphedema,Plast Reconstr Surg Glob Open. 2018 Dec 20;6(12):e2056. doi: 10.1097/GOX.0000000000002056
PMC6348242,1,CC BY-NC-ND,10.1016/j.heliyon.2019.e01127,1,2,Visualization and quantification of eye tracking data for the evaluation of oculomotor function,Heliyon. 2019 Jan 17;5(1):e01127. doi: 10.1016/j.heliyon.2019.e01127
